user_id,exercise_name,sets,updated_at
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Bench Press,"[{""kg"":42,""reps"":10,""type"":""warmup""},{""kg"":83,""reps"":9,""type"":""normal""},{""kg"":83,""reps"":8,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Incline Bench Press,"[{""kg"":35,""reps"":10,""type"":""warmup""},{""kg"":70,""reps"":8,""type"":""normal""},{""kg"":70,""reps"":8,""type"":""normal""},{""kg"":70,""reps"":8,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Decline Bench Press,"[{""kg"":35,""reps"":10,""type"":""warmup""},{""kg"":70,""reps"":7,""type"":""normal""},{""kg"":70,""reps"":9,""type"":""normal""},{""kg"":70,""reps"":9,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Overhead Press,"[{""kg"":24,""reps"":10,""type"":""warmup""},{""kg"":48,""reps"":8,""type"":""normal""},{""kg"":48,""reps"":8,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Push Press,"[{""kg"":30,""reps"":10,""type"":""warmup""},{""kg"":60,""reps"":5,""type"":""normal""},{""kg"":60,""reps"":6,""type"":""normal""},{""kg"":60,""reps"":7,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Dumbbell Shoulder Press,"[{""kg"":10,""reps"":10,""type"":""warmup""},{""kg"":19,""reps"":9,""type"":""normal""},{""kg"":19,""reps"":10,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Arnold Press,"[{""kg"":8,""reps"":10,""type"":""warmup""},{""kg"":15,""reps"":11,""type"":""normal""},{""kg"":15,""reps"":9,""type"":""normal""},{""kg"":15,""reps"":10,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Lateral Raise,"[{""kg"":6,""reps"":10,""type"":""warmup""},{""kg"":12,""reps"":14,""type"":""normal""},{""kg"":12,""reps"":14,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Cable Lateral Raise,"[{""kg"":8,""reps"":10,""type"":""warmup""},{""kg"":15,""reps"":14,""type"":""normal""},{""kg"":15,""reps"":15,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Front Raise,"[{""kg"":3,""reps"":10,""type"":""warmup""},{""kg"":5,""reps"":15,""type"":""normal""},{""kg"":5,""reps"":15,""type"":""normal""},{""kg"":4,""reps"":18,""type"":""drop""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Rear Delt Fly,"[{""kg"":6,""reps"":10,""type"":""warmup""},{""kg"":12,""reps"":14,""type"":""normal""},{""kg"":12,""reps"":15,""type"":""normal""},{""kg"":12,""reps"":15,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Face Pull,"[{""kg"":13,""reps"":10,""type"":""warmup""},{""kg"":25,""reps"":14,""type"":""normal""},{""kg"":25,""reps"":16,""type"":""normal""},{""kg"":25,""reps"":16,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Cable Fly,"[{""kg"":12,""reps"":10,""type"":""warmup""},{""kg"":23,""reps"":14,""type"":""normal""},{""kg"":23,""reps"":15,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Pec Deck,"[{""kg"":22,""reps"":10,""type"":""warmup""},{""kg"":43,""reps"":12,""type"":""normal""},{""kg"":43,""reps"":11,""type"":""normal""},{""kg"":43,""reps"":13,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Incline Dumbbell Press,"[{""kg"":16,""reps"":10,""type"":""warmup""},{""kg"":31,""reps"":11,""type"":""normal""},{""kg"":31,""reps"":9,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Triceps Pushdown,"[{""kg"":18,""reps"":10,""type"":""warmup""},{""kg"":35,""reps"":11,""type"":""normal""},{""kg"":35,""reps"":11,""type"":""normal""}]",2026-06-13T18:30:00.000Z
68b3cf21-cf51-4505-96c2-9ef1e9d9cb65,Overhead Triceps Extension,"[{""kg"":10,""reps"":10,""type"":""warmup""},{""kg"":20,""reps"":12,""type"":""normal""},{""kg"":20,""reps"":11,""type"":""normal""},{""kg"":14,""reps"":16,""type"":""drop""}]",2026-06-13T18:30:00.000Z
